SITE,STATUS,BAND NUM,COLOR,AGE,HOW AGE,SEX,WG,TL,TAR,NAR,WID,DEP,WT
TAKOMA PARK,N,2331-40943,BUX/PKY,AHY,,F,88,93,27.5,11.8,4.4,4.9,36.3
TAKOMA PARK,N,2331-40944,YX/RP,SY,,F,86,90,26.5,11.7,3.9,5.2,31.9
TAKOMA PARK,N,2331-40945,BUX/RBU,AHY,,M,92,100,26.3,12.1,4.5,5.1,31.5
TAKOMA PARK,N,2331-40946,YX/YW,AHY,,F,,,,,,,34.2
TAKOMA PARK,R,2331-40946,YX/YW,AHY,,F,89,90,,,,,43.6
TAKOMA PARK,N,2331-40947,RX/GW,AHY,,M,92,101,27.7,11.2,4.5,5.2,35.5
TAKOMA PARK,N,2331-40951,GX/PKG,SY,LT,M,87.5,90,27.3,11.5,4.5,5,32.5
TAKOMA PARK,N,2331-40952,YX/PUY,SY,LT,F,85,89,27.4,11.8,4.3,5,36.7
SLIGO CREEK,N,2331-40953,,SY,LT,F,85,91.2,28.7,12.6,4.8,5.3,37.3
SLIGO CREEK,N,2331-40954,,AHY,,M,86,93,29.3,12.9,5,5.4,35.9
SLIGO CREEK,N,2331-40955,,SY,LT,M,85,90,27.8,12.4,4.8,4.9,33.5
SLIGO CREEK,N,2331-40956,,AHY,,M,91,96,27.7,12.2,5,4.8,34.1
SLIGO CREEK,N,2331-40957,,SY,LT,M,88,93,27.7,11.7,4.6,4.9,35.4
SLIGO CREEK,N,2331-40958,,AHY,,M,86.5,90,28,11.5,4.3,4.9,33.9
SLIGO CREEK,N,2331-40959,,SY,LT,F,89,94,29,12.4,4.5,4.7,38.1
SLIGO CREEK,N,2331-40960,,AHY,,M,90,96,28.2,12,4.4,5,35
SLIGO CREEK,N,2331-40961,,SY,,M,89,99,27,12.2,4.9,5.2,34.6
SLIGO CREEK,N,2331-40962,,SY,LT,F,84.5,87,27.3,11.8,4,4.9,38
SLIGO CREEK,N,2331-40963,,AHY,,M,90,94,29.2,11.9,4.3,5.1,37.6
SLIGO CREEK,N,2331-40964,,AHY,,M,92,96,28.6,12.6,4.7,5.1,34.6
SLIGO CREEK,N,2331-40965,,SY,,M,86,90,27.4,11.4,4.6,4.7,33.7
SLIGO CREEK,N,2331-40966,,SY,,F,84.5,92,27.9,11.7,4.8,4.8,34.5
SLIGO CREEK,N,2331-41101,YX/BUO,AHY,1,M,92,,29.7,,4.6,5.1,35.3
SLIGO CREEK,N,2331-41103,PKX/YG,AHY,1,M,90,99,27,,4.8,4.7,33.3
SLIGO CREEK,N,2331-41104,OX/BUW,AHY,1,M,90,95,26.8,,4.9,4.7,34.8
SLIGO CREEK,N,2331-41105,GX/BUPK,SY,LT,F,86,87,27.7,,4.6,5,39.6
SLIGO CREEK,N,2331-41106,RX/BUP,AHY,1,F,91,97,27.8,,5.1,5,43.5
SLIGO CREEK,R,2331-41106,RX/BUP,AHY,,F,,,,,,,35.2
SLIGO CREEK,R,2331-41106,RX/BUP,AHY,,F,91,97,28.9,11.9,5.3,5.1,37.3
SLIGO CREEK,N,2331-41108,GX/OR,SY,LT,M,86,95,27.2,,4.6,4.8,34
SLIGO CREEK,N,2331-41110,YX/OP,AHY,1,M,89,91,26.3,,4.6,5,36.1
SLIGO CREEK,N,2331-41112,OX/OBU,AHY,1,F,89,95,27.9,,4.5,4.7,36.5
SLIGO CREEK,R,2331-41112,OX/OBU,AHY,,F,89,93,,,,,40.3
SLIGO CREEK,N,2331-41113,PX/OP,AHY,1,F,84,90,27.2,,4.2,4.7,43.8
SLIGO CREEK,N,2331-41114,RX/OR,SY,LT,M,86,91,25.8,,4.9,5.1,32.4
SLIGO CREEK,N,2331-41115,WX/OW,AHY,1,M,86,90,26.8,,4.1,4.4,34.8
SLIGO CREEK,N,2331-41116,BUX/OP,SY,LT,M,86,94,27.9,,4.4,4.9,35.7
TAKOMA PARK,N,2331-41120,BUX/OW,SY,LT,F,,,26.4,,4,4.9,33.3
TAKOMA PARK,N,2331-41121,PX/OG,AHY,,M,,,27.9,,4.2,4.9,36.3
WHEATON,N,2331-41127,RX/YW,AHY,1,M,89,94,28.3,,4.2,5.2,32.5
