"","tFirst","tSecond","type"
"164",2011-08-31 09:50:00,2011-08-31 23:18:00,1
"165",2011-08-31 23:18:00,2011-09-01 09:53:00,2
"166",2011-09-01 09:53:00,2011-09-01 23:27:00,1
"167",2011-09-01 23:27:00,2011-09-02 10:07:00,2
"168",2011-09-02 10:07:00,2011-09-02 23:26:00,1
"169",2011-09-02 23:26:00,2011-09-03 10:02:00,2
"170",2011-09-03 10:02:00,2011-09-03 23:22:00,1
"171",2011-09-03 23:22:00,2011-09-04 10:00:00,2
"172",2011-09-04 10:00:00,2011-09-04 23:11:12,1
"173",2011-09-04 23:11:12,2011-09-05 10:41:00,2
"174",2011-09-05 10:41:00,2011-09-05 23:07:12,1
"175",2011-09-05 23:07:12,2011-09-06 10:14:00,2
"176",2011-09-06 10:14:00,2011-09-06 23:05:12,1
"177",2011-09-06 23:05:12,2011-09-07 10:12:00,2
"178",2011-09-07 10:12:00,2011-09-07 23:17:12,1
"179",2011-09-07 23:17:12,2011-09-08 10:13:12,2
"180",2011-09-08 10:13:12,2011-09-08 23:08:00,1
"181",2011-09-08 23:08:00,2011-09-09 10:12:00,2
"182",2011-09-09 10:12:00,2011-09-09 23:14:00,1
"183",2011-09-09 23:14:00,2011-09-10 10:06:00,2
"184",2011-09-10 10:06:00,2011-09-10 23:15:00,1
"185",2011-09-10 23:15:00,2011-09-11 10:08:00,2
"186",2011-09-11 10:08:00,2011-09-11 23:07:00,1
"187",2011-09-11 23:07:00,2011-09-12 10:15:00,2
"188",2011-09-12 10:15:00,2011-09-12 23:11:00,1
"189",2011-09-12 23:11:00,2011-09-13 10:13:00,2
"190",2011-09-13 10:13:00,2011-09-13 23:03:00,1
"191",2011-09-13 23:03:00,2011-09-14 10:11:00,2
"192",2011-09-14 10:11:00,2011-09-14 23:00:00,1
"193",2011-09-14 23:00:00,2011-09-15 10:39:00,2
"194",2011-09-15 10:39:00,2011-09-15 22:51:12,1
"195",2011-09-15 22:51:12,2011-09-16 10:20:00,2
"196",2011-09-16 10:20:00,2011-09-16 23:01:12,1
"197",2011-09-16 23:01:12,2011-09-17 10:57:12,2
"198",2011-09-17 10:57:12,2011-09-17 23:13:12,1
"199",2011-09-17 23:13:12,2011-09-18 11:01:12,2
"200",2011-09-18 11:01:12,2011-09-18 23:20:00,1
"201",2011-09-18 23:20:00,2011-09-19 11:21:00,2
"202",2011-09-19 11:21:00,2011-09-19 22:48:00,1
"203",2011-09-19 22:48:00,2011-09-20 11:10:00,2
"204",2011-09-20 11:10:00,2011-09-20 23:11:12,1
"205",2011-09-20 23:11:12,2011-09-21 10:53:00,2
"206",2011-09-21 10:53:00,2011-09-21 23:15:12,1
"207",2011-09-21 23:15:12,2011-09-22 11:00:00,2
"208",2011-09-22 11:00:00,2011-09-22 23:24:00,1
"209",2011-09-22 23:24:00,2011-09-23 11:10:00,2
"210",2011-09-23 11:10:00,2011-09-23 23:20:00,1
"211",2011-09-23 23:20:00,2011-09-24 10:59:00,2
"212",2011-09-24 10:59:00,2011-09-24 23:11:12,1
