band_num,band_age,Color Band,d_banded,tail,tars,mass,wing,sex,fm_site,species
241137329,AHY,"a/pk,o",6/12/09,,,36.5,92.5,M,Solloway,GRCA
241137731,AHY,"w,a",6/11/09,,28.08,37,91,M,Fuisz,GRCA
241137266,AHY,"a,r/pk",6/11/09,,27.91,34.2,87,M,Jackson,GRCA
241137265,AHY,"p,a/pk",6/10/09,,24.92,44.2,90,M,Megonigal,NOCA
241137320,AHY,"a/w,r",6/6/09,,24.63,52.3,93,F,"Galloway, T.",NOCA
241137109,AHY,"p,w/a",6/6/09,,24.22,44.3,94,M,Sanford,NOCA
241137313,AHY,"a,r/bu",6/3/09,,24.23,42.5,97,M,Taylor Elementary,NOCA
129264213,AHY,"w,a/pk",6/3/09,,32.78,80.7,127,F,Lieberman,AMRO
244115013,AHY,"pk,y/a",6/2/09,,21.29,22,64,M,Force,SOSP
259082538,AHY,"w,bu/a",6/1/09,,15.64,10.3,61,M,Coulter,CACH
259082202,AHY,"a/pk,y",6/1/09,,14.66,10.5,61,M,Lucid,CACH
241137311,AHY,"p/pk,A",6/1/09,,22.33,22.3,64,M,Mahoney,NOCA
241137309,AHY,"g,g/a",5/29/09,,24.3,46.6,94,M,Tinius,NOCA
241137308,AHY,"a,pk/g",5/29/09,,27.84,37.5,91,M,Tinius,GRCA
241137239,AHY,"bu,a/pk",5/28/09,,27.17,35.8,92,M,Giese,GRCA
241137102,AHY,"w/a,pk",5/27/09,,25.71,39.4,94,M,Hull,NOCA
259082528,AHY,"o,a/r",5/25/09,,16.42,10.4,63,M,Burdett,CACH
259082527,AHY,"P/a,R",5/25/09,,14.73,8.9,61.5,M,Burdett,CACH
244114012,AHY,"pk,r/a",5/25/09,,21.67,21.8,65,F,Burdett,SOSP
244114011,AHY,"Pk,a/pk",5/23/09,,21.18,19.8,60,M,Morrison,SOSP
129264204,AHY,"w,a/w",5/23/09,,29.63,47.7,103,F,Morrison,NOMO
241137223,AHY,"a/pk,pk",5/21/09,,23.99,41.2,95,M,Andes,NOCA
244114007,AHY,"bk,w/a",5/19/09,,23.76,23.9,65,M,Mosmiller,CARW
230156511,AHY,"bu/a,w",5/18/09,,24.98,77,106,M,Egan,NOCA
244114004,AHY,"A,B/BK",5/16/09,,21.89,21.4,63,M,"Jacobs, S.",CARW
244115007,AHY,"a/pk,o",5/7/09,,21.9,,69,M,Stann,SOSP
226138315,AHY,"p,a/y",5/29/07,,21.47,20.4,67,M,Pancake,SOSP
228169457,U,"y/y,a",7/30/07,,22.39,20.7,59,U,Joranko,CARW
199146166,AHY,"a/o,p",7/27/07,,24.875,43.55,93,M,Assmann,NOCA
195120963,AHY,"BK,R/A",7/21/04,,25.6,46.1,97,m,O'Brien,NOCA
230156911,AHY,"y/w,a",7/2/07,,27.675,47.7,89.445,F,Nichols,NOCA
246022834,AHY,"a/y,g",6/20/07,,17.9,10.75,50.5,M,"Miller, P.",HOWR
251003849,HY,"a,w/g",7/27/08,,15.16,9.6,60,U,Langenbach,CACH
230156529,HY,"bk/o,a",7/27/08,,24.42,45.1,92,M,Langenbach,NOCA
254062856,HY,"a/g,bu",7/25/08,,16.05,10.6,62,U,Gochnour,CACH
233140001,AHY,"O/A,O",7/21/08,,22.52,42,96,M,Foose,NOCA
254062928,AHY,"bk,p/a",7/15/08,,20.3,12.1,59,F,Evans,HOWR
228169493,AHY,"w/a,pu",7/15/08,,21.3,21.3,66,M,Gomes,SOSP
230156545,AHY,"o/a,w/g",7/11/08,,26.66,31.6,85,F,Briggs,GRCA
230155975,AHY,"w/y,a",7/9/08,,26.72,35.3,89,F,Stuebner,GRCA
230156062,AHY,"W/A,bu",6/30/08,,29.9,42.5,97,M,Lyon,NOCA
230156059,AHY,"BK, A/BK",6/26/08,,27.21,38.8,94,M,Horowitz,NOCA
234130310,AHY,"db,pk/a",6/23/08,,21.51,19.8,67,M,Padovano,SOSP
234130123,AHY,"y,a/p",6/23/08,,22.43,22.8,61,M,Eder,CARW
230156827,AHY,"G,pk/a",6/23/08,,26.69,34.7,91,M,Eder,GRCA
230156056,AHY,"bk, r/a",6/23/08,,27.02,38.1,95,F,Hawn,NOCA
230155960,AHY,"a,w/pk",6/23/08,,27.73,,86,M,Padovano,GRCA
230155957,AHY,"db/a,r",6/21/08,,29.43,37.1,88,M,Solitro,GRCA
234129311,AHY,"o,g/a",6/20/08,,21.44,18.5,56,M,McKenna,CARW
230155951,AHY,"a/db,w",6/19/08,,23.86,,92,M,"Williams, P.
",NOCA
254062907,AHY,"BU,Pu/A",6/18/08,,19.71,7.7,60,M,Causey,CACH
230156825,AHY,"Bu,A/R",6/18/08,,23.47,40.6,93,M,Whitehead,NOCA
228169477,AHY,"w,pu/a",6/17/08,,21.97,22,66,M,Molines,SOSP
234130114,AHY,"a/g, pk",6/13/08,,21.11,20,65,M,Gorove,SOSP
230155932,AHY,"w, a/o",6/10/08,,24.72,41.7,91,M,Owen,NOCA
230156584,AHY,"a/bu,pk",6/9/08,,28.23,35.7,88,F,Sheehan,GRCA
246022721,AHY,"r/r,a",6/3/08,,16.96,10.3,48.5,M,McCahill,HOWR
230155918,AHY,"w/w,a",5/30/08,,24.94,,93,M,Hamill,NOCA
251003804,AHY,"p/bu,a",5/29/08,,15.41,9.6,50,F,Speyser,CACH
226138340,AHY,"w/bk,a",7/20/07,,21.07,20.7,67,M,Foose,SOSP
226138331,AHY,"y,a/w",7/7/07,,21.43,20.9,69,M,Gery,SOSP
230156008,AHY,"w,r/a",6/16/07,,24.9,33.2,95,M,Omland,NOCA
199146134,AHY,"a/w,bu",6/13/07,,24.5,42.6,90,M,Lucid,NOCA
240000699,U,"A/R,Y",6/6/07,,16.1,10.3,62,U,Speyser,CACH
220121796,AHY,"g/y,a",5/3/07,,22.17,20.5,66,M,Owen,SOSP
225180701,AHY,"y/y,r/a",5/25/06,95,,40.7,,M,Reitsma,GRCA
192085967,U,"a/bk,bk",7/24/00,53,16.02,9.8,61.5,U,Omland,CACH
184158847,AHY,"a, w/w",5/29/04,,25.1,43.1,87,M,McKenna,NOCA
180119401,AHY,"Bu/a,g",5/21/02,,24.3,44.6,92,F,Sanford,NOCA
251003841,HY,"bu,p/a",7/20/08,,16.1,10.1,64,U,DeChello-Crownsville,CACH
251003811,U,"p,p/a",6/11/08,,15.75,9.9,59,U,Hammond,CACH
123288302,AHY,"r/y,a",7/12/07,,32.2,48.4,113,M,McDonough,NOMO
228169406,AHY,"a/p,o",6/15/07,,21.37333333,20.43333333,67.5,M,Stewart,SOSP
226138311,AHY,"y,a/y",6/9/07,,22.16,20.8,65,M,Reitsma,SOSP
225180091,AHY,"y,a/pk",5/27/08,,20.9,20,65.5,M,Subramanian,SOSP
228169118,AHY,"a,g/w",7/7/07,,23.1,19.5,59,M,Land,CARW
244114041,AHY,"w,a/bu",7/2/09,,22.72,21.5,60,M,Versak,CARW
129264325,AHY,"bu/a,o",6/20/09,,32.03,73.8,120,M,Land,AMRO
254062887,AHY,"bu/p,a",5/13/09,,15.34,10,63,M,Stewart,CACH
230155938,AHY,"a,r/pk",6/16/08,,26.81,,86,M,Fary,GRCA
244114209,AHY,"bu,r/a",7/9/09,,21.235,21.4,65.5,M,Salaj,SOSP
259082567,HY,"bk/a,o",7/6/09,,14.995,9.05,58,U,Morrissey,CACH
