grid_code	GSP_Deuterium	X	Y
-634400	-63.44	-78.774734	47.283651
-638300	-63.83	-78.441401	47.283651
-640500	-64.05	-78.108068	47.283651
-644200	-64.42	-77.774735	47.283651
-646900	-64.69	-77.441402	47.283651
-647600	-64.76	-77.108069	47.283651
-649600	-64.96	-76.774736	47.283651
-650600	-65.06	-76.441403	47.283651
-653800	-65.38	-73.108073	47.283651
-648200	-64.82	-72.77474	47.283651
-652100	-65.21	-72.441407	47.283651
-664200	-66.42	-72.108074	47.283651
-675199	-67.52	-71.774741	47.283651
-676600	-67.66	-71.441408	47.283651
-683800	-68.38	-71.108075	47.283651
-645400	-64.54	-70.774742	47.283651
-632200	-63.22	-70.108076	47.283651
-651600	-65.16	-69.774743	47.283651
-649200	-64.92	-69.44141	47.283651
-641300	-64.13	-69.108077	47.283651
-639500	-63.95	-68.774744	47.283651
-627800	-62.78	-68.441411	47.283651
-624500	-62.45	-68.108078	47.283651
-624200	-62.42	-67.774745	47.283651
-626700	-62.67	-67.441412	47.283651
-632600	-63.26	-67.108079	47.283651
-648600	-64.86	-66.774746	47.283651
-642699	-64.27	-66.441413	47.283651
-619800	-61.98	-66.10808	47.283651
-624200	-62.42	-65.774747	47.283651
-617700	-61.77	-65.441414	47.283651
-608800	-60.88	-65.108081	47.283651
-703300	-70.33	-94.441385	46.950318
-698300	-69.83	-94.108052	46.950318
-693300	-69.33	-93.774719	46.950318
-687300	-68.73	-93.441386	46.950318
-684600	-68.46	-93.108053	46.950318
-682500	-68.25	-92.77472	46.950318
-678500	-67.85	-92.441387	46.950318
-665600	-66.56	-92.108054	46.950318
-645400	-64.54	-91.774721	46.950318
-630300	-63.03	-89.108057	46.950318
-630800	-63.08	-88.774724	46.950318
-598500	-59.85	-84.441395	46.950318
-614700	-61.47	-84.108062	46.950318
-619600	-61.96	-83.774729	46.950318
-618100	-61.81	-83.441396	46.950318
-619500	-61.95	-83.108063	46.950318
-621500	-62.15	-82.77473	46.950318
-625700	-62.57	-82.441397	46.950318
-624500	-62.45	-82.108064	46.950318
-621800	-62.18	-81.774731	46.950318
-623000	-62.30	-81.441398	46.950318
-620800	-62.08	-81.108065	46.950318
-614400	-61.44	-80.774732	46.950318
-613700	-61.37	-80.441399	46.950318
-617100	-61.71	-80.108066	46.950318
