"","tFirst","tSecond","type"
"320",2012-01-04 12:03:00,2012-01-04 23:30:00,1
"321",2012-01-04 23:30:00,2012-01-05 12:09:00,2
"322",2012-01-05 12:09:00,2012-01-05 23:30:00,1
"323",2012-01-05 23:30:00,2012-01-06 12:01:00,2
"324",2012-01-06 12:01:00,2012-01-06 23:37:00,1
"325",2012-01-06 23:37:00,2012-01-07 12:07:00,2
"326",2012-01-07 12:07:00,2012-01-07 23:37:00,1
"327",2012-01-07 23:37:00,2012-01-08 11:59:00,2
"328",2012-01-08 11:59:00,2012-01-08 23:32:00,1
"329",2012-01-08 23:32:00,2012-01-09 12:02:00,2
"330",2012-01-09 12:02:00,2012-01-09 23:43:00,1
"331",2012-01-09 23:43:00,2012-01-10 12:08:00,2
"332",2012-01-10 12:08:00,2012-01-10 23:38:00,1
"333",2012-01-10 23:38:00,2012-01-11 11:46:00,2
"334",2012-01-11 11:46:00,2012-01-11 23:42:00,1
"335",2012-01-11 23:42:00,2012-01-12 11:46:00,2
"336",2012-01-12 11:46:00,2012-01-12 23:43:00,1
"337",2012-01-12 23:43:00,2012-01-13 11:52:00,2
"338",2012-01-13 11:52:00,2012-01-13 23:44:00,1
"339",2012-01-13 23:44:00,2012-01-14 11:46:00,2
"340",2012-01-14 11:46:00,2012-01-14 23:37:00,1
"341",2012-01-14 23:37:00,2012-01-15 11:52:00,2
"342",2012-01-15 11:52:00,2012-01-15 23:45:00,1
"343",2012-01-15 23:45:00,2012-01-16 11:40:00,2
"344",2012-01-16 11:40:00,2012-01-16 23:45:00,1
"345",2012-01-16 23:45:00,2012-01-17 11:42:00,2
"346",2012-01-17 11:42:00,2012-01-17 23:50:00,1
"347",2012-01-17 23:50:00,2012-01-18 11:47:00,2
"348",2012-01-18 11:47:00,2012-01-18 23:49:00,1
"349",2012-01-18 23:49:00,2012-01-19 11:50:00,2
"350",2012-01-19 11:50:00,2012-01-19 23:47:00,1
"351",2012-01-19 23:47:00,2012-01-20 11:49:00,2
"352",2012-01-20 11:49:00,2012-01-20 23:47:00,1
"353",2012-01-20 23:47:00,2012-01-21 11:48:00,2
"354",2012-01-21 11:48:00,2012-01-21 23:50:00,1
"355",2012-01-21 23:50:00,2012-01-22 11:48:00,2
"356",2012-01-22 11:48:00,2012-01-22 23:50:00,1
"357",2012-01-22 23:50:00,2012-01-23 12:05:00,2
"358",2012-01-23 12:05:00,2012-01-23 23:44:00,1
"359",2012-01-23 23:44:00,2012-01-24 11:46:00,2
"360",2012-01-24 11:46:00,2012-01-24 23:44:00,1
"361",2012-01-24 23:44:00,2012-01-25 12:09:00,2
"362",2012-01-25 12:09:00,2012-01-25 23:49:00,1
"363",2012-01-25 23:49:00,2012-01-26 11:49:00,2
"364",2012-01-26 11:49:00,2012-01-26 23:49:00,1
"365",2012-01-26 23:49:00,2012-01-27 11:46:00,2
"366",2012-01-27 11:46:00,2012-01-27 23:48:00,1
"367",2012-01-27 23:48:00,2012-01-28 11:47:00,2
"368",2012-01-28 11:47:00,2012-01-28 23:49:00,1
"369",2012-01-28 23:49:00,2012-01-29 11:46:00,2
"370",2012-01-29 11:46:00,2012-01-29 23:46:00,1
"371",2012-01-29 23:46:00,2012-01-30 11:47:00,2
"372",2012-01-30 11:47:00,2012-01-30 23:51:00,1
"373",2012-01-30 23:51:00,2012-01-31 11:48:00,2
"374",2012-01-31 11:48:00,2012-01-31 23:50:00,1
